sentence,keyword
Why did the writer feel fantastic after the gym ?,['after']
What may be the reason for you having a hard time in the dog park ?,['for']
What did Matthew do after swimming ?,['after']
Why did Dan and I break up ?,['and']
What happened as this pain continued ?,['as']
What did you do after your dinner was interrupted ?,['after']
What will happen now that Helen does not have help ?,['now that']
How many arts and craft stores does Satan own ?,['and']
What 's a possible reason dinner was n't much longer after that ?,['after']
What may have happened the day before I was leaving my driveway and taking the brood to school ?,"['before', 'and']"
What might happen if you start to play roller hockey ?,['if']
What would be different if she was awake ?,['if']
What will you do when you become less busy with school and work ?,['and']
Why have I   never been with a family that laughed and were as silly as they were ?,"['as', 'and']"
What may be the reason for the unfavorable reaction to your husband ?,['for']
What would have happened if the event had not been conducted so fancifully ?,['if']
What may have caused you to cry and post dumb frilly titles ?,['and']
Why did the writer want to cook something before it went bad ?,['before']
What did Madame Lipinski say to me after I did jumping jacks in her class from excitement ?,['after']
Where did the writer and his dad go to ?,['and']
What happened to the brother next ?,['next']
Why did Mom ask for the district manager 's number ?,['for']
What 's a possible reason the writer and their best friend were known as the dynamic duo ?,"['as', 'and']"
Why might I be going grocery shopping on Saturday if I came home with arms full of groceries ?,['if']
How would I feel if at the end there was n't a test .,['if']
What may have been your reason for going to a mate 's place ?,['for']
What is he starting to realize about the woman whose hand he just grabbed and squeezed ?,['and']
What may be true about unsecured loans for people with bad credit ?,['for']
Why is the writer sorry for the delay ?,['for']
What did I decide to do next ?,['next']
What may have been your reason for going into Monty 's ?,['for']
What might this narrator try to explain next ?,['next']
What might be the reason for you to not think about Phil ?,['for']
What might happen if someone tells you about a scientology doctrine ?,['if']
What may happen after we go to the Microcenter ?,['after']
What may have happened if I had work on Friday ?,['if']
What tends to happen when you and Nick make plans ?,['and']
What may happen before the giddiness overrode the panic ?,['before']
Why might I be looking for more hours if the current nanny position is working great ?,"['if', 'for']"
Why might I have been paid for pretending to be a patient ?,['for']
What might happen if the nice lady has to take the pet to the vet ?,['if']
What may happen if you receive a beat - up cart ?,['if']
What might have happened if the narrator did n't have to move a car ?,['if']
What might the receiver of the camera feel after getting his grandmother 's old camera back ?,['after']
What may have happened if you did not get to the dentist on time ?,['if']
What might the person by concerned with going to the pool for ?,['for']
Why could n't the writer make heads nor tails out of what was in their hand ?,['nor']
Why did they need to ask for directions ?,['for']
What will happen if we continue to value celebrity as much as we do now ?,"['if', 'as', 'much as']"
What may be the reason for Grapser surviving ?,['for']
What may have caused Josh to keep the t - shirt he caught even though it was too big ?,['though']
What might be different if the narrator was n't lactose intolerant ?,['if']
Why was it so good for him to be home and to eat crabs again ?,"['and', 'for']"
What may have been your reason for going to Hong Kong ?,['for']
What did you do Sunday before the race ?,['before']
What happened after the haggadah was finished ?,['after']
Why did the writer think the bar had several numbers for cab companies ?,['for']
What might be different if they did n't have an open carriage ?,['if']
What may be your reason for leaving the old machine in the garage ?,['for']
Why did the laptop switch itself off for absolutely no reason ?,['for']
Why did she participate in an after school art program ?,['after']
What might happen during a date between you and Dan ?,['and']
What may be your reason for travelling often ?,['for']
What else would typically go along with the event described ?,['else']
What may have happened if the narrator was closer to the stage ?,['if']
What might happen if you continue to get small paychecks ?,['if']
What happened before you decided to enter the clinic to improve your weight ?,['before']
How did you feel after using the new component on your truck ?,['after']
What may have caused to hold the amount out of next month 's rent ?,['next']
What may be the reason for your stoic heart being replaced with a happier one ?,['for']
How did you feel after the retreat was over ?,['after']
What happened after my X got the job proposal ?,['after']
What will happen once you officially turn 29 ?,['once']
What would we do next after swimming at Lake Pueblo State Park ?,"['after', 'next']"
What may happen if I leave enough time for myself tomorrow ?,"['if', 'for']"
Why was my bike in the shop for a while ?,['for']
Why did raspberries and copious amounts of icing sugar save the day ?,['and']
Why did you pull out a cigarette and quickly light it ?,['and']
Why did the owner reduce the price so much for Grace ?,['for']
What will happen the next time you decide you 'd like to eat a bento box ?,['next']
If you are able to would you go on a return trip ?,['if']
What would happen if the woman had heard what you said ?,['if']
Why might this advertisement suggest you to try it before buying ?,['before']
What kind of relationship do Julie and Perry have ?,['and']
Why was he working on the car 's brakes for so long that he was acting like he could n't move ?,['for']
What 's a possible reason the story is boring without conflict and tension ?,['and']
What would happen if your birds happened to fly away ?,['if']
What might happen if we appreciate the simple things ?,['if']
What will likely happen next ?,['next']
Why are bills being stolen and forged ?,['and']
Why might I have been waiting anxiously for the dress ?,['for']
What did the girlchild do after Deb left the bus station ?,['after']
What may be a good reason to double - check if you 're registered to vote ?,['if']
What may be your reason for wanting more planning in your life ?,['for']
What might happen if someone responded to your message ?,['if']
What may be his reason for listening to the weird and creepy music ?,"['and', 'for']"
What would happen after the Grey Jedi used delay damage and did not die ?,"['after', 'and']"
What 's a possible reason they were playing hide and seek ?,['and']
How will Bill Melendez be remembered now that he has passed away ?,['now that']
Why was the familiar scent of alcohol nothing new for Ryan Ross ?,['for']
What 's a possible reason the writer considers themselves lucky for seeing the pope ?,['for']
How were they able to sell the bucks for just 5 bucks instead of the higher prices which they actually cost ?,"['instead', 'for']"
What might happen after one books a trip with SuperClubs ?,['after']
Why might my son 's haircut have taken and hour ?,['and']
What may have happened before the story ?,['before']
What would happen if she did n't have to worry about her niece staying over ?,['if']
What might Jules have done after trying to stop the conversation ?,['after']
What may happen after you rinse the eggplant ?,['after']
What might happen if he had had mac n cheese at a restaurant instead ?,"['if', 'instead']"
What may be your reason for watching less TV ?,['for']
What will happen if the crowd is excited and loud during the game ?,"['if', 'and']"
What may happen if children grow up in an environment filled with faith in god ?,['if']
What must I have been going through before coming to realize my advices are not helpful ?,['before']
What may happen after you guys receive your wall graphics ?,['after']
Why had he never owned a house before ?,['before']
What might have happened between the girl and Andrew ?,['and']
What may have been your reason for shopping at Food Lion ?,['for']
What may be your reason for going to the doctors on Monday ?,['for']
Why did you curl up in bed and watch the office after getting off work ?,"['after', 'and']"
What might happen after you take a vacation with your family ?,['after']
What may be Savvy Bader 's reason for not being your roommate anymore ?,['for']
What did you do once you got home ?,['once']
Do the parents think Jackson is mature enough to take a class meant for three year old children ?,['for']
Why would the crazy man stomp on my fingers instead of trying to save me from falling ?,['instead']
"What happened to Trisha , Julie , and Shilpa ?",['and']
Why did the writer get cast for the school play ?,['for']
What may have caused the bartender to ask for your ID ?,['for']
How might she feel about Luke and Grace/,['and']
Who is Amanda and why was she crawling back and forth on the couch ?,['and']
How would you feel if you two decided to be more than friends ?,['if']
What might happen if you try to change the speed of a video clip ?,['if']
What may have been your reason for buying the sleeping bag ?,['for']
Why would Brianna only join Youth Group because Casey was in it ?,['because']
Why did the writer make several strikes and spares ?,['and']
What 's a possible reason the writer made some things for the children ?,['for']
What may be your reason for eating out less ?,['for']
"As a boy , why could I never understand why my father was reluctant to talk about his military service ?",['as']
Why did his mom pay so much money for tutors ?,['for']
Why were the writer and their friends going to the fall show ?,['and']
What might happen if you treat the case with some resistant liquid to make it less tacky ?,['if']
What may be your reason for never being able to forget Butch ?,['for']
Why did the boy leave his car and keys with them ?,['and']
What happened when he left his car for the weekend ?,['for']
What may happen after we share our piece of the story ?,['after']
What may happen if the Dare Tradition did not exist or happen,"['if', 'or']"
Why did I have to look after my friends ?,['after']
How do you feel after you meet someone who 's left - handed ?,['after']
What may be your reason for not using the Hotel 's wireless service ?,['for']
What may be the reason for Jack being summoned to the office ?,['for']
What will likely happen after this story ?,['after']
Why was I going to a group home for juvenile delinquents ?,['for']
What might have happened if my passport was n't covered in pink dye ?,['if']
What would have happened if I left before everyone threw brightly colored water on each other ?,"['before', 'if']"
Why did they meet at McDonald 's for lunch ?,['for']
Why did Eric and Clark go out mtn biking ?,['and']
What 's a possible reason the guy takes serious liberties to poke fun at believers and atheists alike ?,['and']
Why is it fantastic that the writer was next to Molly ?,['next']
Why did the medicine not work for you ?,['for']
What will you do if you do not get better ?,['if']
What may happen before it became her lone battle ?,['before']
What probably happened before this story ?,['before']
What might I do for a living ?,['for']
Where do the couple go after the person turns 21 ?,['after']
What may be your reason for not taking the job full time ?,['for']
"What does it mean that we are preparing for a "" new family "" ?",['for']
What would happen if conditions were equalized for these people ?,"['if', 'for']"
Why were Tom and Declan busy ?,['and']
What would someone do if they needed to find out more information about the restaurant ?,['if']
What type of things might I have shopped for ?,['for']
What might have the team received after winning ?,['after']
What may bring beauty and peace in the brokenness ?,['and']
What did he / she feel for his / her sister when they grew up ?,['for']
How might I have felt if I met even more authors ?,['if']
Why do I want to exchange for the black and red one ?,"['and', 'for']"
What 's a possible reason the writer is so glad they finally got it done ?,['finally']
How will I feel after I heard about what happened to my friend 's brother in the army ?,['after']
What may have been her reason for slapping him ?,['for']
If things do n't change what will you start doing again ?,['if']
What will probably happen after the story ?,['after']
Why did he inquire after her health ?,['after']
What may be your reason for wanting to do the spin class tonight ?,['for']
What may be the reason for the floating feeling ?,['for']
What happened after I was attending College ?,['after']
Why is it important to be present in your children or relative 's education ?,['or']
What did I do before going to Cal Poly Pomona Orientation ?,['before']
What might be different if the narrator did n't go to caleb 's place ?,['if']
Why did I continue to get pimples after being a teenager ?,['after']
What might have happened had the store been out of the 87 as well ?,"['as', 'as well']"
Why are Noah and Jared planning to do some manual labor in the attic ?,['and']
What may be your reason for sharing things that you have n't told anyone with him ?,['for']
Why must have I been feeling too awful to work for the past two days ?,['for']
What did I do after making butter ?,['after']
Why did the young bear 's family move on to better hunting and fishing grounds ?,['and']
What may have happened before the new law regarding reverse mortgages ?,['before']
What might I have been painting and putting a clear coat on ?,['and']
What happened because of the wedding ?,['because']
What will you do if you can not locate and find the bracket ?,"['if', 'and']"
Why did things get better once Sassy showed up ?,['once']
Why did the writer and their siblings go to the amusement / theme park ?,['and']
What might happen if Max gives you an unexpected gift ?,['if']
Why did you cut up the acorn squash vine and the zucchini vines and one pumpkin vine ?,['and']
What might be different if the narrator did n't take matters into their own hands ?,['if']
What will you do next time you decide to enter a bird contest ?,['next']
What changes into a wash of grey and orange ?,['and']
What happened after he realized he had hurt his wrist ?,['after']
Why would eating more vegetarian meals be better for me ?,['for']
What may have been his reason for going to Oxford ?,['for']
Who or what is Ike ?,['or']
What might happen to my youtube video and channel ?,['and']
Why did they do xrays and blood tests ?,['and']
How might I feel about Amanda and Kelsey ?,['and']
Why did I feel dirty for using someone else 's sermon outlines ?,"['for', 'else']"
For whom might have the noose been prepared ?,['for']
What probably happened after this story ?,['after']
What is the likely reason for the horse to kick at it 's stomach ?,['for']
Why did I inquire as to her health ?,['as']
What may have been his reason for loving this thing ?,['for']
What will happen after they till the soil ?,"['after', 'till']"
Why are they charging much more than before ?,['before']
What may have been your reason for getting poster boards along with the Legos ?,['for']
Why are they trying to figure out what to vote for ?,['for']
What 's a possible reason tonight qualifies for grey ?,['for']
What was cold and wet ?,['and']
What might happen if these mega companies allowed employees to have shares or stakes in the companies ?,"['if', 'or']"
Why did my back hurt and my feet were so swollen that I could n't go to the gym after getting home from those things ?,"['after', 'and']"
What will Alice do after hearing my singing ?,['after']
What may happen if you quit smoking ?,['if']
What might have he done even though he did n't want to stay at the Newport event ?,['though']
What 's a possible reason Paul begged for mercy ?,['for']
What may have caused people to get up and leave at the coffee place ?,['and']
How did you feel after seeing the announcement ?,['after']
Why did Jim Murray build a free hut for hikers ?,['for']
Why were trees uprooted and torn throughout the city ?,['and']
Why is the woman nervous and scared shitless ?,['and']
What may be your reason for thinking it will never end ?,['for']
What did I do after the animals were shooed out of the house ?,['after']
What may be your reason for taking time away from your clients ?,['for']
What will happen if one wants to see the toy set ?,['if']
What may be your reason for waiting to meet people ?,['for']
What will happen when he starts up on the thing he was talking about again after he wakes up from his drunken nap ?,['after']
Why is the lady still in mourning after so long ?,"['after', 'still']"
WHat happened before John 's story ?,['before']
What may have been your reason for taking the day off with John ?,['for']
What may have been your reason for not checking the internet or news ?,"['or', 'for']"
What happened on the one Saturday I bring my staff in for the morning ?,['for']
What may happen after I become confident ?,['after']
Why did you on the blog after giving your name ?,['after']
What will happen if Randy can not aford to fix the septic tank pump ?,['if']
What may have happened before the conversation ?,['before']
What might have happen before Tuesday ?,['before']
When did traffic finally seem to quiet down ?,['finally']
What may happen if my internet gets turned off ?,['if']
Why has the morning not started out well for the narrator ?,['for']
What would need to happen first for this to be plausible ?,['for']
What is the narrator so focused on and ranting about ?,['and']
What may be the reason for them providing this recipe ?,['for']
What may happen after they countered offer ?,['after']
What may happen before they close the deal ?,['before']
Why is a lot of cleanup on the way for the narrator ?,['for']
What may be the reason the husband wanted to use the pantyhose and panties ?,['and']
What may happen after the job offer ?,['after']
Why was going to a much larger school overwhelming for the speaker ?,['for']
Why is the narrator and others doing so much driving ?,['and']
What may be the reason for the small ding ?,['for']
What may happen before it is born ?,['before']
Who was wearing a velvet scarf and knit hat at the shop ?,['and']
What will I do after the doctor examines me ?,['after']
What may be the reason for them not bringing the jacket with them in the first place ?,['for']
What would need to happen for this scenario to be possible ?,['for']
What is the most likely setting for this event ?,['for']
"If she sticks to her plan , when will the narrator likely finish the project ?",['if']
What may be the reason for Lynn 's reluctance to retire ?,['for']
What will the narrator drink the next time they have pizza ?,['next']
What may have happened if I did n't have any dessert ?,['if']
What may have happened if Fraser was home as she got there ?,"['if', 'as']"
What may happen after providing ebooks ?,['after']
Why was the painting so quickly available for pickup ?,['for']
What shows I 'm a big supporter of Obama and Biden ?,['and']
What may happen before the new semester ?,['before']
What may have Luna done before this night ?,['before']
Why were people happy for Kwame ?,['for']
What did I eat after shopping with my stepmom ?,['after']
What may be the reason for posting while on vacation ?,['for']
what may be the plausible cause for the concerns I have for Carmen 's hair ?,['for']
What may be the reason for their discussion about the past ?,['for']
Why may the narrator be self conscious next to the man ?,['next']
What may be the reason for their dream ?,['for']
What if it was what it sounded like ?,['if']
What may be the reason for paying those fees ?,['for']
What may be the reason for celebrating an anniversary ?,['for']
Why did the narrator have a fondness for E ?,['for']
Why did Elka and the narrator want to grill ?,['and']
What will happen after they are done with their party ?,['after']
what if the narrator had not seen Batman ?,['if']
Why has the concept of roller coasters gotten the speaker so excited and exuberant ?,['and']
What could one say about Alex and Danny 's drug consumption ?,['and']
What may be the reason for this dialogue not being filmed ?,['for']
"If the text was written today , what day is it ?",['if']
What may be the reason for this advertisement of the Kindle ?,['for']
What may be the reason for posting this ?,['for']
What may happen after v isiting Florence ?,['after']
What may happen after their training sessions ?,['after']
Which if the following is true of Katelyn ?,['if']
Why might the trainer have asked me if I wanted to leave early ?,['if']
What may be the reason for transplanting the plant ?,['for']
What may happen after hangiong out with a beautioful woman ?,['after']
What may happen if oil and gas prices did not rise ?,"['if', 'and']"
What may happen after they are done using the computer ?,['after']
What did Bill do after the lady told him the owner is in another warehouse ?,['after']
What may be the reason for his reaction ?,['for']
What may have happened before the Cardinals game ?,['before']
What may be the reason for the sun being gone ?,['for']
What is the next step if this medication does n't help my pet ?,"['if', 'next']"
What may happen if I try to ride with a saddle that has slit down the middle ?,['if']
"What caused the speaker to apply the eye drops , referred to as ' get red out ' ?",['as']
What may be the reason for the post ?,['for']
Why would her face be so blemished and marked up ?,['and']
Why is it important for athletes to spend time outdoors ?,['for']
Why might kids not have been to a drive in before ?,['before']
What may happen after they received this news ?,['after']
What will happen after my dad gets here ?,['after']
What may I do next week because of the sunburn I have this week ?,"['because', 'next']"
How often do I go the the CSA for my CSA bounty ?,['for']
What will the bike rider do next ?,['next']
Why was n't her particularly ready to stay for the applause ?,['for']
What might I do after I find my own niche ?,['after']
What would happen if a boardwalk was put in ?,['if']
What type of relationship do the speaker and Jarvis have ?,['and']
What will happen after the narrator goes to the NIN concert ?,['after']
What will happen after the narrator and Jarv 's day together ?,"['after', 'and']"
What may happen after plugging in my old dvr ?,['after']
Why is the narrator so focused on her outfit for the event ?,['for']
What is one of the ulterior motives for being with Monica and Rane,"['and', 'for']"
How will he feel after sweating with the two of them ?,['after']
What may have happened after going back to the crib ?,['after']
What is most likely to happen after this passage to the narrator ?,['after']
Why is the narrator dreading the next few weeks ?,['next']
Why did Joey and Justin knock on their door aggressively ?,['and']
Why was the speaker excited to see Joey and Justin ?,['and']
Why was there anxiety before getting the tickets ?,['before']
Why were they thankful for their flats ?,['for']
Where will we likely be tomorrow for our activity ?,['for']
What happened after this ?,['after']
Why do my dentist and his wife currently live in separate houses ?,['and']
What nay be the reason for this post ?,['for']
What did you do after Courtney picked Family Pizza ?,['after']
Why were they tired after Meg 's party ?,['after']
Why does the speaker refer to not getting a picture of the elk as a fisherman 's story ?,['as']
What would have happened if I did not purchase the bundle deal ?,['if']
What will happen with the narrator and the XBox ?,['and']
What may happen if I had n't gone hiking ?,['if']
What will happen with them next ?,['next']
What would happen if I move back home ?,['if']
What may be the reason I 'm upset with Pas even though he was n't there ?,['though']
What did Lily do before she was held ?,['before']
What may be the reason for reading numbers incorrectly ?,['for']
What would happen if they explode out of the bush ?,['if']
What may be my favorite type of arts and craft ?,['and']
What type of religion is the subject into or potentially into ?,['or']
What will one do after reading the narrator 's suggestion ?,['after']
What may happen after purchasing the bus tickets ?,['after']
Why do they want the pack and play to go next to their bed ?,"['next', 'and']"
What may be the reason for wanting to help all those people ?,['for']
What may happen after taking a bite of white bread ?,['after']
Why is the narrator so mournful and feeling sadness ?,['and']
What may happen in the future for the speaker ?,['for']
What is the relationship between Jenniffer and Lorrina ?,['and']
Why do I want to buy two gallons instead of one ?,['instead']
What may happen after they get to their cubicle ?,['after']
What are the parents going to do after this ?,['after']
Why might it be difficult for the dog ?,['for']
What is the narrator likely to do after taking the pictures ?,['after']
What may be the reason for their discussion about the show ?,['for']
What is the narrator most likely to have used for the group phott ?,['for']
what happened after I got thinking ?,['after']
What may happen if she does n't spend the rest of her life with Ben ?,['if']
Why does the narrator not feel as good as they could ?,['as']
What may happen after one of them leaves ?,['after']
What may be the reason for their grandma 's statement ?,['for']
What may happen after they call their girlfriend 's house ?,['after']
What will happen after the visit ?,['after']
Which most likely happened after midnight ?,['after']
What may be the reason for her getting dollar coins back ?,['for']
Why was Mitsu and the first years so tired ?,['and']
What may happen after friday ?,['after']
How was the narrator feeling the day after they were unable to move ?,['after']
How did I feel after I completed my task ?,['after']
Why was New Orleans so unprepared for Hurricane Katrina,['for']
what will the narrator do next ?,['next']
What may be the reason for their trip to the antique sales ?,['for']
What likely happened before the author took off the covers ?,['before']
"What will be the most logical step , now that everything is wet and I am awake ?","['and', 'now that']"
What may happen before the books dropped ?,['before']
Did you decide to become a magician after your cousin 's birthday ?,['after']
What might have Scott done after 7AM ?,['after']
How many times has this person made a card just like this before ?,['before']
What may happen after they got to the river ?,['after']
What should they include with their resume when applying for jobs ?,['for']
What is n't something the narrator says is needed to know if you are in love ?,['if']
What might the speaker do next ?,['next']
Why is the person tired of moving the fan back and forth from room to room ?,['and']
What may happen next in speaker 's story ?,['next']
Why would they end up not taking any photos before eating ?,['before']
What is the reason for my feelings ?,['for']
Why am I driving around looking for Wi - Fi hotspots ?,['for']
What may be the reason for their sleeping problems ?,['for']
Why did Beta the dog decided to kill the squirrel as it lept from the tree ?,['as']
why did he say he would call her later in the week ?,['later']
what happened after they discussed meeting ?,['after']
If the narrator had gone to the park last week what would they have worn ?,['if']
What will happen when they ask for their drink and go down the slide ?,"['and', 'for']"
What happend after youur school counselor walked into the op shop ?,['after']
What may be the reason for wanting to get out of the house ?,['for']
What may happen next in the speaker 's story ?,['next']
What may be the reason why they are waiting for payday to fix their car ?,['for']
What may have happened before I broke up with my ex ?,['before']
What will the narrator do next after leaving the room ?,"['after', 'next']"
What may be the reason for blogging from the wireless network ?,['for']
What may be the reason for someone losing 100 pounds ?,['for']
How would I feel if it accidently blows up in my face ?,['if']
Why are designers and engineers unable to get reliable parts ?,['and']
Why did the speaker and their friends choose to try swimming in the freezing water ?,['and']
"Why did the speaker make sure to be hasty about the speed at which they changed , after hearing the knock ?",['after']
What may be the reason for Christina 's heart palpitations ?,['for']
What was the reason for my official announcement ?,['for']
What may have happened after Bean got up in the morning ?,['after']
What will she likely do after finding that deal,['after']
What may be the reason for the thief smelling the way he did ?,['for']
What may I be after this announcement ?,['after']
What might have happened before on the forum ?,['before']
What may happen for the people in the story in the near future ?,['for']
What happened after we went back to the dock ?,['after']
Who else knows that the person is nervous about school ?,['else']
Where are the fingers sliding in and out of ?,['and']
Why is the narrator running for the door ?,['for']
What may have happened if the mutation did not occur ?,['if']
What may have happened before noticing the lump on my neck ?,['before']
"What may be the reason for saying it was not creepily Messianic , nor blindly frothing ?","['nor', 'for']"
What did I finally understand when this moment happened in my life ?,['finally']
What may be a fact about this person and how they are feeling ?,['and']
What may happen after reading the book Speed Racer ?,['after']
What may happen after going through important papers ?,['after']
What will happen with the narrator and their ex ?,['and']
What may be the reason for the new shops being built ?,['for']
What may happen after they discover their car issue ?,['after']
Why was Simon whispering in her ear such a turn on for the speaker ?,['for']
What may happen after being told that her team is READY ?,['after']
What did I do that morning that is recommended for everyone ?,['for']
What may have happened if i had COBRA coverage ?,['if']
What has happened before questioning my faith in man 's depiction of Jesus ?,['before']
What may be the reason for them having a hard day with the kids ?,['for']
Why does the narrator want to do something good for the women he is speaking of ?,['for']
Why did they need to look for a press ?,['for']
What may happen after they go shopping ?,['after']
Who should I give my joy and power to ?,['and']
What may have happened next ?,['next']
What happened later ?,['later']
Why does Religions for Peace hold this position ?,['for']
What is the reason Nicole 's being more developed and having hand control is so noteworthy ?,['and']
What is the narrator likely to do next for the child ?,"['next', 'for']"
What may happen if her tear ducts are blocked ?,['if']
Why is there so much tension between Amanda and Nicole ?,['and']
What may happen after this discussion ?,['after']
What may happen after they upload their video ?,['after']
What may be the reason for them thinking Yuri wanted to stay there ?,['for']
What will the writer most likely do next ?,['next']
What may happen after they begin their new book ?,['after']
What may be the reason for there not being any scratches on the furniture ?,['for']
What if he had not had a nightmare ?,['if']
Why did I want it as much as I did ?,"['as', 'much as']"
What nay be the reason for the post ?,['for']
What may have they done after the eye exam ?,['after']
What season is it as the narrator speaks ?,['as']
What would happen if the reader did not stop by the Art Doll Challenge site ?,['if']
What might I do after leaving this place ?,['after']
What will the narrator do as the season approached ?,['as']
What will the narrator do now that their garden is blooming ?,['now that']
What may be the reason for them worrying about their cats ?,['for']
What may be in store for the narrator after this ?,"['after', 'for']"
What will be the reaction between the visiting students and the students in Okayama ?,['and']
What might the writer 's group do after arriving in Okayama ?,['after']
What state may Mike leave for ?,['for']
What did they go on vacation for ?,['for']
What will happen when she returns to class next week .,['next']
What could happen as a result of her distracting Drew while driving .,"['as', 'as a result']"
What will the narrator do after eating ?,['after']
What is the reason it took 20 or 30 minutes to get a box of cereal ?,['or']
What is the narrator likely to do after this CostCo experience ?,['after']
What is the most enjoyabnle part of grovery shopping for this person ?,['for']
Why did the speaker cry when the man boarded the plane and left for Oregon ?,"['and', 'for']"
What is the main stress point for the auditor ?,['for']
What may be the reason for the daughter ’s words ?,['for']
What may be the reason for this book being the perfect gift ?,['for']
What may be a fact about this person and their situation ?,['and']
What led the mother and sister to refuse to move when they saw the car coming towards them ?,['and']
What would happen after an altercation ?,['after']
What might happen if an overzealous parent gets involved in the game ?,['if']
What may happen after the speaker is done explaining what the computer is telling them ?,['after']
What might Genma have done after seeing all the injuries on her ?,['after']
Who left the envelope for the narrator ?,['for']
Where is the person traveling to or in ?,['or']
Where may we have been when Brother Jo accepted the Lord as his Savior ?,['as']
What may have happened after Brother Jo left us that evening in the hospital ?,['after']
What may have happened if the spayed action had not taken place ?,['if']
What may be the plausible reason for Mushi 's death,['for']
What may happen after they review their budget ?,['after']
What did the narrator do after they purchased the peep toe shoes ?,['after']
Why did the speaker think that a possible explanation for the fire ants was food ?,['for']
What may I need to buy at the store after today ?,['after']
What may be the reason for needing a grace period for the rent ?,['for']
Why is the fund paying for so much ?,['for']
What may be his reaction after ask I him things ?,['after']
What may happen after they think about a trip to Charlotte ?,['after']
What may happen after finding out about the live recording ?,['after']
what would happen if the narrator used sunscreen ?,['if']
How would you feel afterward ?,['afterward']
What may be the reason for the man saying what he does ?,['for']
What may be the reason for praying in desperation ?,['for']
Why does the narrator seem so conflicted and stressed ?,['and']
What may be the reason for waiting the last minute for important details of a trip ?,['for']
What did the writer do after adding the chopped nuts ?,['after']
What will happen if too many nuts are added to the mixture ?,['if']
What will most likely happen as the writer continues to run ?,['as']
Why was I in the apartment for that amount of time ?,['for']
What may have happened if she had been addressed as governor consistently ?,"['if', 'as']"
What is the narrator in the market for ?,['for']
What may be the reason I call myself stupid for staying by his side ?,['for']
What may happen if today is my day off instead ?,"['if', 'instead']"
What may be the reason for people wanting to stay indoors for 5 days ?,['for']
What may have happened after a month ?,['after']
What may be the reason for their ‘ wine chats’ ?,['for']
What will happen after the person shares his test results ?,['after']
What may happen after Remy is taken to the vet ?,['after']
what may be the plausible reason for taking Risperdal ?,['for']
Why are Kota and the speaker surprised that it had been Ed 's first semester ever teaching ?,['and']
What may I be going to the hospital for ?,['for']
What did I have to do before playing tennis with my mom ?,['before']
How would I have felt if I did n't play tennis with my mom ?,['if']
What is the reason for my online course .,['for']
What may happen after the machines become fast ?,['after']
Why is the person looking for someone to travel with ?,['for']
What did I have to go and see for sure ?,"['and', 'for']"
Why does the narrator look to Darlene and Nancy as models ?,"['as', 'and']"
What may have happened after we completed the project ?,['after']
Who is the boyfriend going to get food and water for at the gas station ?,"['and', 'for']"
What may happen after Olivia goes to Asia ?,['after']
What will happen to the little girl after seeing all of this ?,['after']
What may be the reason for them remaining respectful ?,['for']
What may be the reason for the IV and blood test ?,"['and', 'for']"
What may happen after he did what he did ?,['after']
Why might I be making a list of food joints and their locations ?,['and']
What might happen after the BBC ?,['after']
What has the goats and sheep so rammed up ?,['and']
Where was I before posted about the trivet ?,['before']
Why did Brad do the dishes for the speaker after his first day of medical school ?,"['after', 'for']"
What may be the reason for their hike obstacles ?,['for']
What will I do before working on my weblog ?,['before']
