sentence,keyword
The point at issue between Wirth and Chang is whether,['and']
The reasoning in the researcher's argument is flawed because the argument fails to consider that,['because']
"Which one of the following statements, if true, casts doubt on the argument?",['if']
The conclusion is properly drawn if which one of the following is assumed?,['if']
"Which one of the following is a principle that, if valid, most helps to justify the restaurant critic's reasoning?",['if']
"Which one of the following, if true, most helps to resolve the apparent discrepancy in the statements above?",['if']
The reasoning above is flawed because it,['because']
"Which of the following, if true, most helps to explain the apparent inconsistency in the results of the library's policy?",['if']
"Which one of the following, if true, most helps to resolve the apparent discrepancy in the information above?",['if']
"The statements above, if true, support which one of the following inferences?",['if']
"Which one of the following, if true, most seriously weakens the editorial's argument?",['if']
The conclusion of the argument is most strongly supported if which one of the following is assumed?,['if']
"Which one of the following, if true, would provide the most support for the economists' assertion?","['if', 'for']"
"Each of the following, if true, provides support for the critique above EXCEPT:","['if', 'for']"
"The statements above, if true, most strongly support which one of the following?",['if']
"Which one of the following, if true, would most help to explain the difference in fuel requirements?",['if']
The statement that considerations as remote as what an offender did years ago are relevant to the seriousness of an offense plays which one of the following roles in the argument?,['as']
"Each of the following, if true, strengthens the prospects that the radio station's plan will succeed EXCEPT:","['if', 'if then']"
"Which one of the following statements, if true, most weakens the argument?",['if']
The advertisement is misleading if which one of the following is true?,['if']
"Which one of the following, if true, contributes most to an explanation of the apparent discrepancy noted above?",['if']
"Which of the following, if true, most strongly supports the environmentalists' claim?",['if']
"Each of the following, if true, would contribute to an explanation of differences described above EXCEPT:",['if']
"The statements above, if true, most strongly support which one of the following inferences?",['if']
"If the considerations advanced in its support are true, the passage's conclusion is supported",['if']
"Each of the following, if true, would help resolve the apparent discrepancy described above EXCEPT:",['if']
"Which of the following, if true, most strongly support the accounts of Greek texts?",['if']
Which one of the following must be assumed in order to justify the conclusion that climatic variations cause a major difference in survival rates of small and large finches?,['and']
"Which of the following, if true in Birangi, would most strongly support the experts' contention about the effect of the proposed automobile tax on Birangi's air-quality problem?",['if']
The conclusion of the argument is properly drawn if which one of the following is assumed?,['if']
The archaeologist's reasoning is most vulnerable to criticism because it,['because']
"If the statements above are true, and if negotiations between the two sides do begin soon, at the time those negotiations begin each of the following must also be true EXCEPT:","['if', 'and']"
"Which one of the following, if true, argues most strongly against the explanation reported in the passage?",['if']
"Which of the following, if true, would indicate the most serious weakness in the plan above?",['if']
"Which of the following, if true, best supports the claim that more people will be buying angora clothing this year?",['if']
The argument's conclusion is properly drawn if which one of the following is assumed?,['if']
"Of the following, which one most closely conforms to the principle that the passage as a whole illustrates?",['as']
"Which one of the following, if true, most calls into question the scientist's argument?",['if']
"Which one of the following, if true, would most strengthen the editorialist's argument?","['if', 'if then']"
"Which one of the following principles, if valid, most helps to justify the reasoning in the argument?",['if']
"Which of the following, if true, would most weaken the microbiologist's reasoning?",['if']
"Which one of the following, if true, would most seriously weaken the argument?",['if']
"Which one of the following principles, if valid, most helps to justify the argument?",['if']
"Which one of the following, if true, most helps to resolve the apparent discrepancy in the passage?",['if']
"Which one of the following principles, if valid, most helps to justify the pundit's reasoning?",['if']
"Which one of the following, if true, most helps to resolve the apparent discrepancy described above?",['if']
"Which one of the following statements, if true, most strengthens the argument?","['if', 'if then']"
"Which one of the following, if true, most strengthens the reasoning above?","['if', 'if then']"
Rita and Hiro disagree over whether,['and']
"The scientists' conjectures, if true, provide the most support for which one of the following statements?","['if', 'for']"
"Which of the following, if true, most seriously undermines the explanation described above?",['if']
"If the statements in the editorial are true, which one of the following must also be true on the basis of them?",['if']
"Which one of the following, if true, most helps to resolve the apparent conflict between the two statements above?",['if']
"Which one of the following, if true, contributes most to an explanation of the difference described above in the Romans' use of water power?",['if']
"Which one of the following, if true, casts the most doubt on the reliability of the method described above?",['if']
"Each of the following, if true, would help to resolve the apparent discrepancy between the predictions above EXCEPT:",['if']
"If the statements above are true, which one of the following can be properly inferred from them?",['if']
"Which one of the following, if it were determined to be true, would provide the best evidence that the journal's decision will have the desired effect?",['if']
"Each of the following, if true, supports Dr. Pagano's reasoning EXCEPT:",['if']
The conclusion of the criminologist's argument is properly inferred if which one of the following is assumed?,['if']
"Letter to the editor: You have asserted that philanthropists want to make the nonprofit sector as efficient as private business in this country. Philanthropists want no such thing, of course.",['as']
"Which one of the following, if true, most helps to support the science writer's argument?",['if']
"Which of the following, if true, raises the most serious doubt regarding the effectiveness of the government's plan to increase the amount of money available for development loans for businesses?","['if', 'for']"
"If the statements above are all true, which one of the following must also be true on the basis of them?",['if']
"Which one of the following, if true, most helps to explain the facts cited above?",['if']
The argument above is flawed because it fails to take into account,['because']
"If the statements above are true, which one of the following is an inference that can be properly drawn on the basis of them?",['if']
"Which one of the following, if true, would cast doubt on the experimenters' conclusion?",['if']
The dialogue between Huang and Suarez most strongly supports the claim that they disagree about whether,['and']
"Which one of the following, if true, most weakens the argument above?",['if']
"Which one of the following, if it were discovered to be true, would most seriously undermine the argument?",['if']
"Which one of the following, if true, most helps to resolve the apparent discrepancy?",['if']
"Which of the following, if true, most helps to confirm the explanation above?",['if']
Which one of the following most accurately and completely expresses the main conclusion of the city council member's argument?,['and']
The point at issue between Emile and Sabina is whether,['and']
The argument's reasoning is flawed because the argument fails to,['because']
"If the statements above are true, then on the basis of them which one of the following must also be true?",['if']
"Which of the following, if true, most strongly supports the psychologists' interpretation of the studies?",['if']
The reasoning in the magazine article's argument is flawed because the argument,['because']
"Which one of the following, if true, would most weaken the psychologist's argument?",['if']
"Which one of the following, if true, identifies a flaw in the plan for the program?","['if', 'for']"
"Which of the following, if true, identifies a potentially serious drawback to the plan for installing speed humps in Ardane?","['if', 'for']"
"Which one of the following, if true, most calls into question the claim above?",['if']
Cox and Crockett disagree over whether,['and']
The industry analyst's argument is flawed because it fails to consider that:,['because']
"If all of the library preservationist's statements are true, which one of the following must be true of the medieval manuscripts in the library's collection?",['if']
The conclusion drawn above follows logically if which one of the following is assumed?,['if']
The conclusion drawn by the physician follows logically if which one of the following is assumed?,['if']
The conclusion above is properly drawn from the premises given if which one of the following is true?,['if']
"Which one of the following, if true, most seriously undermines the reasoning above?",['if']
Bunty and Naina disagree with each other about,['and']
"Each of the following, if true, helps to undermine the hypothesis of those in charge of the tourist attraction EXCEPT:",['if']
"Which of the following, if true, most strongly indicates that the logic of the prediction above is flawed?",['if']
"Which one of the following, if true, most helps to resolve the apparent paradox described above?",['if']
"Which of the following, if true, most strongly supports the conclusion drawn above?",['if']
"Which of the following, if true, would most help to explain the resignations of the waiters and waitresses?","['if', 'and']"
"Which of the following, if true, points to the most serious flaw of a plan to develop a medication that would prevent asthma attacks by blocking receipt of any messages sent by the messenger molecules referred to above?",['if']
"Which of the following statements, if true, most logically resolves the apparent paradox?",['if']
"Which of the following, if true, most seriously calls into question the consulting firm's recommendation for the choosing the hospital to close?","['if', 'for']"
"The claims above, if true, most strongly support which of the following conclusions?",['if']
"Which of the following, if true, most helps to account for the drop in reclamation costs described?","['if', 'for']"
"If all of the statements above are true, which one of the following must also be true on the basis of them?",['if']
"If that insect is a bee, it can only sting once. It only did sting once. So it is a bee.",['if']
"If the statements above are true, which one of the following must on the basis of them be true of woolly monkeys in colonies?",['if']
"Which one of the following, if true, most helps to strengthen the argument?","['if', 'if then']"
"If the statements above are true, which one of the following must be true about the new tax law?",['if']
Which of the following is an assumption that supports drawing the conclusion above from the reasons given for that conclusion?,['for']
"Which of the following, if true, most strengthens the argument given?","['if', 'if then']"
The professor's conclusion is properly drawn if which one of the following is assumed?,['if']
"Which of the following, if true, would provide the strongest justification for the managers' judgment?","['if', 'for']"
The news item's argument is vulnerable to criticism because it fails to consider the possibility that,['because']
"The statements above, if true, most seriously undermine which one of the following assertions?",['if']
"Which one of the following principles, if valid, would most help to justify the pacifist's reasoning?",['if']
"Which one of the following, if assumed, allows the conclusion above to be properly drawn?",['if']
Which of the following best describes the main point of dispute between the reporter and baseball coach?,['and']
"Which one of the following, if true, could by itself adequately explain the unexpected finding reported in the passage?",['if']
"If the statements above are true, each of the following must also be true EXCEPT:",['if']
"Which one of the following, if assumed, enables the economics professor's conclusion to be properly drawn?",['if']
Which of the following is an assumption that supports drawing the conclusion above from the reason given for that conclusion?,['for']
"Each of the following, if true, helps to explain how the change in incentives for agents could have resulted in increased sales EXCEPT:","['if', 'for']"
The business ethicist's conclusion follows logically if which one of the following is assumed?,['if']
The overall conclusion of the historian's argument is that,['overall']
"if true, most strongly supports the biologist's explanation cited above?",['if']
"If the statements above are true, which one of the following conclusions is most strongly supported by them?",['if']
"Which of the following, if true, best supports the explanation offered by the school board for the students' lower test scores?","['if', 'for']"
"All of the following, if true, weaken the superintendent's conclusion EXCEPT:",['if']
"Which one of the following, if true, adds the most support for the challenge from the modem historians?","['if', 'for']"
The claim that people have positive or negative responses to many nonsense words plays which one of the following roles in the argument?,['or']
"Shouldn't you own an SKX Mach-5? If the claims made in the advertisement are true, which one of the following must also be true on the basis of them?",['if']
"Which one of the following, if true, most helps to explain the discrepant findings of the soil scientists and the home gardeners?","['if', 'and']"
Which one of the following is the most accurate assessment of the advertising-sales director's argument as a response to the magazine editor's argument?,['as']
"Which of the following, if true, most supports the company's implementing its plan to develop the prototype?",['if']
The reasoning in the argument is most vulnerable to criticism because the argument,['because']
"Which one of the following, if true, most seriously undermines the conclusion above?",['if']
"Which one of the following is a principle that, if established, would provide the strongest justification for the editorial's conclusion?","['if', 'for']"
"Which of the following, if true, would best provide evidence showing that the conclusion above is possibly flawed?",['if']
"In light of the situation, which of the following, if true, most strongly argues that adopting the proposal would be an ineffective way of achieving the goal?",['if']
"If the statements above are true, which one of the following must also be true of trees in the Centerville Botanical Gardens?",['if']
"Which one of the following, if true, most helps to explain the failure of the strategy involving wolves?",['if']
"Which of the following statements, if true, would most support the argument in the passage?",['if']
"Which one of the following, if true, provides the most support for the industry analysts' prediction?","['if', 'for']"
Which one of the following most accurately describes the role played in the argument by the view that social isolation will greatly increase because of the popularity of browsing the Web?,['because']
The statements above provide some support for each of the following EXCEPT:,['for']
"In light of the background information, which of the following, if true, can account for fact 1 and fact 2 both being true of the submissions to this year's Barbizon Film Festival?","['if', 'and', 'for']"
"Which one of the following provides the strongest reason for exercising caution when relying on the ""better"" clues mentioned above in order to discover whether someone is lying?",['for']
"Which one of the following, if true, is most helpful in resolving the apparent paradox?",['if']
The reasoning in the astronomer's argument is flawed because this argument,['because']
"Which one of the following exhibits the most moral action, as described by the philosopher?",['as']
"If the statements above are true, which one of the following is most strongly supported on the basis of them?",['if']
The reasoning in the argument is not sound because it fails to establish that,['because']
Which one of the following most accurately expresses the conclusion drawn by the argument as a whole?,['as']
"Which one of the following, if true, contributes most to an explanation of the difference between the behavior of lottery winners in rural areas and those in cities?","['if', 'and']"
"Which one of the following, if true, would best reconcile the two statements above?",['if']
"Which one of the following, if true, most seriously weakens the doctor's argument?",['if']
"If the statements above are correct, which one of the following must be true?",['if']
"Which of the following, if true, would argue most strongly against deciding, on the basis of the trial results, to implement the company's plan?",['if']
"If the statements above are true, which of the following is most strongly supported by them?",['if']
The information above provides the most support for which one of the following?,['for']
Pettengill and Romney disagree over whether,['and']
"Which one of the following principles, if valid, most helps to justify the reasoning in Simpson's response to Vandenburg?",['if']
"Which of the following, if true, best casts doubt on the argument?",['if']
"Which one of the following discoveries, if it were made, would most support the above hypothesis about South America and Africa?","['if', 'and']"
The conclusion above follows logically if which one of the following is assumed?,['if']
"Which of the following, if true about Washington County, most seriously weakens the argument?",['if']
"Which one of the following principles, if valid, most supports the taxi driver's reasoning?",['if']
"Which one of the following, if assumed, enables the conclusion of the argument to be properly inferred?",['if']
"Which of the following, if true, provides the strongest reason for the health professionals' recommendation?","['if', 'for']"
The argument's conclusion can be properly inferred if which one of the following is assumed?,['if']
The reasoning in the company representative's argument is most vulnerable to criticism because it fails to consider the possibility that,['because']
"All of the following statements, if true, weaken the argument, EXCEPT:",['if']
"If the statements in the passage are true, which one of the following must also be true?",['if']
"Which of the following statements, if true, most seriously weakens the argument?",['if']
The claim that dogs learn best when they are trained using both voice commands and hand signals figures in the argument in which one of the following ways?,['and']
The reasoning in the argument is questionable because the argument,['because']
"Which of the following, if true, is most damaging to the inference drawn by the scholars?",['if']
The dialogue above lends the most support to the claim that Sherrie and Fran disagree with each other about which one of the following statements?,['and']
"Which one of the following, if true, constitutes the logically strongest counter to the physician's argument?",['if']
"Which of the following, if true, most helps explain the dramatic rise in the fox population?",['if']
The reasoning in the historian's argument is flawed because the argument,['because']
"Which one of the following, if true, most seriously undermines the researcher's reasoning?",['if']
"Which one of the following, if true, does the most to resolve the apparent paradox?",['if']
The contention that the town would not have to spend as much as it does on removing trash if all town residents sorted their garbage plays which one of the following roles in the editorial's argument?,"['if', 'as', 'much as']"
"Which of the following statements, if true, most weakens the argument?",['if']
"Which one of the following, if true, most helps to resolve the apparent paradox?",['if']
"Which of the following, if true, would most seriously undermine the biologist's hypothesis?",['if']
Atrens's conclusion follows logically if which one of the following is assumed?,['if']
The argument is most vulnerable to the criticism that it takes for granted that,['for']
"For the purposes of evaluating the argument, it would be most useful to know whether",['for']
"If the statements above are true and the archaeologists' hypothesis is correct, which one of the following CANNOT be true?","['if', 'and']"
The argument's reasoning is flawed because the argument overlooks the possibility that,['because']
"Which one of the following, if true, most strengthens the chemist's argument?","['if', 'if then']"
"Which one of the following, if true, best explains the discrepancy in the information above?",['if']
"Which of the following, if true, provides the best reason for the expectation?","['if', 'for']"
"As a rebuttal of the safety inspector's claim, the biologist's reasoning is flawed in that it",['as']
"Each of the following, if true, weakens the argument EXCEPT:",['if']
The considerations given best serve as part of an argument that:,['as']
"Which one of the following, if true, most helps to resolve the apparent discrepancy between the scientists' beliefs and the scientists' results, as described above?","['if', 'as', 'and']"
"Which one of the following statements, if true, most seriously weakens the argument?",['if']
"Which one of the following principles, if valid, most helps to justify the essayist's argument?",['if']
"Which of the following, if true, most seriously undermines the claim that the tree-planting proposal will assure an abundant tree population?",['if']
"Which one of the following, if true, most seriously undermines the argument?",['if']
"Which one of the following, if true, undermines the booksellers' explanation of the growth in sales of fantasy-fiction books for adults?","['if', 'for']"
The argument is vulnerable to criticism because it,['because']
"Which one of the following, if true, most weakens the columnist's argument?",['if']
The conclusion above is properly drawn if which one of the following is assumed?,['if']
"Which of the following statements, if true, most weakens the conclusion that the number of hybrid cars sold annually is likely to flatten in the next few years?","['if', 'next']"
"Which of the following, if true, most strongly justifies the claim made by Rubco's executives?",['if']
"Which one of the following principles, if established, would do the most to justify the conclusion drawn by the antiwhaling activist?",['if']
"Which one of the following, if true, most seriously undermines the government's claim?",['if']
"Which of the following, if true, provides the strongest support for the directors position?","['if', 'for']"
The conclusion drawn above follows logically if which one of the following is assumed to be true at Tromen University?,['if']
The information above provides the most support for which one of the following conclusions?,['for']
"Which one of the following is most strongly supported by the statements above, if those statements are true?",['if']
"Which one of the following, if true of the economist's country, most helps to resolve the apparent paradox in the economist's statements?",['if']
"If the statements above are both true, which one of the following conclusions can be drawn on the basis of them?",['if']
"Which of the following statements, if true, would support the claim of the Industry Analyst?",['if']
"The statements above, if true, give the most support to which one of the following?",['if']
"In the argument as a whole, the two boldfaced portions play which of the following roles?",['as']
"Which of the following, if true, most strongly argues that the plan, if put into effect, will not increase Paper&amp; Print's profits?",['if']
"If all of the statements above are true, which one of the following must also be true?",['if']
"Which of the following, if true, provides the most reason to doubt that the president's plan, if implemented, will achieve its stated purpose?",['if']
Are you inspired by the piles of laundry and empty soda bottles in your studio? Which one of the following most accurately expresses the principle underlying Vernon's response to Wanda?,['and']
"Which one of the following principles, if valid, most helps to justify the philosopher's argument?",['if']
"Each of the following, if true, weakens the employer's argument EXCEPT:",['if']
"Which one of the following, if true, most seriously calls the anthropologists' explanation into question?",['if']
"Which of the following, if true, most strengthens the argument?","['if', 'if then']"
"Which of the following, if true, most strongly supports the researchers' hypothesis?",['if']
"Each of the following, if true, weakens the consumer advocate's argument EXCEPT:",['if']
"Which of the following, if true, most seriously undermines the argument?",['if']
"Each of the following, if true, provides some support for the historians' account described above EXCEPT:","['if', 'for']"
"Why would a ""smart highway"" system be any better? If Eva responded to Luis by saying that the current one-minute radio reports are too short to give a sufficient description of overall patterns of traffic congestion, which one of the following, if true, would most strengthen Luis's challenge?","['if', 'overall', 'if then']"
"Which one of the following, if true, indicates a flaw in the argument?",['if']
"Which one of the following, if true, most helps to explain the surprising fact stated above?",['if']
"Each of the following, if true of seventeenth-century France, helps to support the historians' conclusion EXCEPT:",['if']
"Which one of the following reasons, if true, most strongly supports the claim made above about the implications of the decline?",['if']
The claim that inventors sometimes serve as their own engineers plays which one of the following roles in the argument?,['as']
"Each of the following, if true, helps to support the Fenwicks' hypothesis EXCEPT:",['if']
"Which one of the following, if true, most helps to resolve the apparently conflicting findings?",['if']
"Which one of the following, if true, most helps to explain why the doctors' recommendation to some cancer patients differs from the general recommendation regarding vitamin C?",['if']
The school official can most properly criticize the reasoning by which the survey report reached its result for failure to do which one of me following?,['for']
"Which one of the following, if true, would most strengthen the argument?","['if', 'if then']"
The conclusion of the columnist's argument can be properly drawn if which one of the following is assumed?,['if']
"Which of the following, if true, most helps to explain why teen-age unemployment was high when there were many job openings?",['if']
"Which of the following, if true about Morodia, most helps to explain why the number of collisions and collision-related injuries in Morodia failed to decline in 1966?","['if', 'and']"
Which of the following would be most useful to investigate for the purpose of evaluating the plan's prospects for achieving its goal?,['for']
"Which one of the following principles, if valid, would most help to justify the trade negotiator's reasoning?",['if']
"Which one of the following, if true, provides the strongest additional support for the hypotheses above?","['if', 'for']"
"Which of the following, if true about Washington County, most helps to provide a justification for the investors' prediction?","['if', 'for']"
The claim that manufacturers manipulate and create consumer demand plays which one of the following roles in the argument?,['and']
"Which one of the following, if assumed, allows the conclusion of the therapist's argument to be properly inferred?",['if']
The dialogue most supports the claim that Daniel and Carrie are committed to disagreeing with each other about the truth of which one of the following statements?,['and']
"Which one of the following, if all of them are true, is LEAST helpful in establishing that the conclusion above is properly drawn?",['if']
"Which of the following, if true, provides the most support for the personnel officer's proposal?","['if', 'for']"
"Which one of the following, if true, establishes that the doctor's second reason does not cancel out the first?",['if']
"Which of the following, if true, provides the most additional support for the conclusion drawn above?","['if', 'for']"
"Which of the following, if true, would most help to explain the greater effect of zander on the native fish population?",['if']
"Which of the following, if true, most helps to explain why acting on the CEO's plan failed to achieve her goal?",['if']
"In evaluating the support given for the conclusion advanced in the last sentence of the passage, it would be most important to determine whether",['for']
"Which of the following, if true, suggests that the epidemiologist's plan for eliminating malaria is not viable?","['if', 'for']"
Which one of the following statements must be true if what John's literature professor believes is true?,['if']
The argument's reasoning is flawed because the argument,['because']
"Which of the following, if true, most seriously undermines the likelihood that the planned incentives, if implemented, will achieve both of the cited aims?",['if']
The point at issue between Henry and Winifred is whether,['and']
"Which of the following, if true, would most strengthen the argument above?","['if', 'if then']"
"Which of the following, if true, would offer the best prospects for explaining deaths in which weakness of the immune system, though present, played no causal role?","['though', 'if', 'for']"
"Which one of the following is a principle that would, if valid, provide the strongest justification for the reasoning above?","['if', 'for']"
"Which of the following, if true, best accounts for the typical survey practices among market researchers?","['if', 'for']"
James's and Margaret's statements provide the most support for the claim that they disagree over the truth of which one of the following?,"['and', 'for']"
"Which one of the following, if true, most helps to explain the facts described above?",['if']
Sharon's argument is structured to lead to which of the following as a conclusion?,['as']
"Which one of the following, if true, most strengthens the argument that there is a fifth universal force?","['if', 'if then']"
The information above provides the most support for which one of the following statements?,['for']
"Which one of the following principles, if valid, provides the most support for the historian's argumentation?","['if', 'for']"
"Which one of the following, if true, can most logically serve as a premise for an argument that uses the principle to counter the claim?","['if', 'as', 'for']"
"Which of the following, if true, most strongly supports the argument above?",['if']
"Which one of the following, if true, most helps to reconcile the environmental scientist's conclusion with the evidence cited above?",['if']
"Which one of the following, if true, most strengthens the support for the causal claim made above?","['if', 'for', 'if then']"
"Which of the following, if true, most seriously weakens the conclusion above?",['if']
"Which one of the following, if true, would most help to resolve the apparent discrepancy described above?",['if']
"Which one of the following, if assumed, enables the conclusion of the ethicist's argument to be properly drawn?",['if']
"Which one of the following, if true, would most help to resolve the apparent discrepancy between Aristophanes' portrayal of Socrates and the other surviving portrayals?","['if', 'and']"
The reasoning of the argument above is questionable because it,['because']
The juice manufacturer's response is flawed as a refutation of the nutritionist's argument because it,"['because', 'as']"
"Which one of the following, if true, justifies the above application of the principle?",['if']
"Which of the following, if true, most seriously weakens the argument above?",['if']
"Each of the following, if true, contributes to a resolution of the discrepancy described above EXCEPT:",['if']
"Which one of the following principles, if valid, most justifies the scientists' conclusion?",['if']
The conclusion of the classicist's argument follows logically if which one of the following is assumed?,['if']
"Which of the following, if true, contributes most to an explanation of why the outcome of a coin flip is difficult to predict even though it is well determined?","['though', 'if']"
"Which one of the following, if true, would most strongly counter the city official's response?",['if']
"Which of the following, if true, most seriously undermines the argument's conclusion?",['if']
"Which of the following, if true, provides the strongest reason for discounting the evidence Perkins cites in arguing against the contention that being hunted by humans contributed to the North American extinction of woolly mammoths?","['if', 'for']"
The reasoning in the argument is flawed because,['because']
"Which one of the following, if true, indicates the most serious flaw in the method used by the investigators?",['if']
"Which of the following, if true, most weakens the argument?",['if']
"Which one of the following, if true, contributes the most to an explanation of the results of the study?",['if']
Jamal's and Jennifer's statements provide the most support for holding that they agree about the truth of which one of the following?,"['and', 'for']"
The proposition that private ownership of the means of production ultimately destroys any society that sanctions it plays which one of the following roles in the argument above?,['ultimately']
"Which of the following, if true, would best explain why the pricing structure for milk makes economic sense for Stop and Go?","['if', 'and', 'for']"
"Which one of the following, if true, most seriously weakens the researchers' conclusion?",['if']
The reasoning in the industrialist's argument is flawed because the argument,['because']
Which one of the following most accurately expresses the overall conclusion of the argument?,['overall']
"Which of the following, if true, casts the most doubt on the conclusion drawn by proponents of Benford's Law?",['if']
The court analyst's reasoning is flawed because it fails to take into account that,['because']
"Which one of the following, if true, would provide evidence against the bottom-up theory?",['if']
"Which one of the following, if true, most seriously weakens the builder's reasoning?",['if']
"Which one of the following principles, if valid, most helps to justify the essayist's reasoning?",['if']
The claim that a private university is successful only if its graduates donate large amounts of money to it plays which of the following roles in the argument?,['if']
"Which one of the following principles, if valid, most helps to justify the argument's reasoning?",['if']
"If the statements above are true, which one of the following must on the basis of them also be true?",['if']
"Which of the following, if true, most strengthens the argument above?","['if', 'if then']"
"Which one of the following, if assumed, enables the economist's conclusion to be properly drawn?",['if']
"Which one of the following, if true, most justifies the above application of the principle?",['if']
"Which one of the following propositions is most supported by the historian's statements, if those statements are true?",['if']
"Which of the following, if true, most helps to account for the lack of convergence noted above?","['if', 'for']"
"Which of the following, if true, best explains the fact that sleep-deprivation is not used as a treatment for depression?","['if', 'as', 'for']"
"Which of the following, if true, most adequately counters the objection made to the proposal?",['if']
"Which of the following, if true, would most strengthen the argument that mangrove replanting will increase the Gocha cooperative's net income?","['if', 'if then']"
"Each of the following, if true, provides additional support for the paleontologist's conclusion EXCEPT:","['if', 'for']"
The argument's conclusion can be properly drawn if which one of the following is assumed?,['if']
Which one of the following most accurately describes the relationship between the argument's conclusion and its claim that one can be at home without being in one's own house?,['and']
"Which of the following, if true, most strongly supports the hypothesis?",['if']
"Which one of the following, if true, casts the most doubt on the accuracy of the above conclusion?",['if']
"The book collector's statements, if true, most strongly support which one of the following?",['if']
The argument is flawed because it,['because']
Which one of the following most accurately describes the role played in the argument by the claim that driving position affects both comfort and the ability to see the road clearly?,['and']
The answer to which of the following would be most useful for evaluating the naturalist's reasoning?,['for']
"Which one of the following statements, if true, most weakens the reasoning above?",['if']
"Which of the following statements, if true, would cast the most doubt on the conclusion drawn above?",['if']
The reasoning on which the director bases his statement is not sound because he fails to establish that,['because']
"Each of the following, if true, supports the claim above EXCEPT:",['if']
"Each of the statements below, if true, weakens the argument EXCEPT:",['if']
"Which one of the following principles, if valid, most helps to justify the columnist's reasoning?",['if']
The reasoning in the factory manager's argument is flawed because this argument,['because']
"Which of the following, if true, most seriously weakens the guidebook writer's argument?",['if']
"Which one of the following principles, if established, does most to justify the husband's reply?",['if']
"If, on the basis of the evidence above, it is argued that ESI decreases worker absenteeism, which of the following, if true, would most seriously weaken that argument?",['if']
"Which of the following, if true, most strongly suggests that following the researchers' recommendation would NOT be effective?",['if']
"If all of the statements above are true, then which one of the following must be false?",['if']
"Which of the following, if true, most helps to explain the decline in Selean oil-tax revenues?",['if']
"Which of the following, if true, would most strengthen the astronomer's argument?","['if', 'if then']"
"Which of the following, if true, most seriously undermines the argument given?",['if']
"Which one of the following principles, if valid, would most help to justify the sociologist's argument?",['if']
"Which of the following, if true, most helps to justify the observers' expectation?",['if']
"The principle stated by the university president, if valid, most helps to justify which one of the following actions?",['if']
Anyone making the claims above would be logically committed to which one of the following further claims?,['further']
"Each of the following, if true, contributes to an explanation of the difference in caloric intake EXCEPT:",['if']
The method described above for determining how quickly a new idea is taking hold relies on which one of the following assumptions?,['for']
"The analyst's statements, if true, most strongly support which one of the following statements about the analyst's country?",['if']
"Assuming that each citizen of Mooresville is allowed to vote only for a city council representative from his or her own neighborhood, for the council's membership to be changed substantially, it must be true that","['or', 'for']"
The dialogue provides the most support for the claim that Alexia and Malik disagree over whether,"['and', 'for']"
"Which one of the following, if true, most justifies the stated application of the principle?",['if']
"Which one of the following principles, if valid, most helps to justify the reasoning in the bus driver's argument?",['if']
"Which one of the following would, if true, most strengthen the politician's argument?","['if', 'if then']"
