sentence,keyword
People like to join in dangerous sports because   _  .,['because']
"In the past, people lived in danger because   _  .",['because']
Why is scintillation a problem for astronomers?,['for']
"Before his first visit to Russia, the writer learned Russian gentlemen are polite to  _  .",['before']
What does John do after his work?,['after']
John likes to live in the country because   _  .,['because']
Many Americans like to eat apples during lunch because they   _   at noon.,['because']
The state of Washington is proud of its apples because they think   _  .,['because']
"After the heavy rain, the mother dog swam to the island   _  .",['after']
The two birds rushed down and took the little one away because   _  .,"['because', 'and']"
Little Mike went to the park and   _  .,['and']
The old lady smiled because   _  .,['because']
"From the passage, we know Tom and Amba  _  .",['and']
"According to the passage, it is very important for children not to be   _  for school every day.",['for']
"Wangwang, Mimi and Yingying can all  _  .",['and']
Please come and watch our show on   _  .,['and']
"After he eats the food,  _  .",['after']
--Do his parents and teachers like his hair style? --  _  .,['and']
His mother buys a beautiful   _  for him.,['for']
Paul's parents took him back to the woods because they  _  .,['because']
"Wang Gang doesn't like   _   at all, because it's too boring.",['because']
Wang Gang and his friends go to the movies   _  .,['and']
The boy finally had enough money for the doll because  _  .,"['because', 'finally', 'for']"
Why are the penguins in South Africa reproducing in higher numbers than before the oil leaking?,['before']
All of the followings are common spices in Chinese cooking EXCEPT  _  .,['except']
"If you are ill  , you can go to see   _  .",['if']
Many children and people like Mickey Mouse because  _  .,"['because', 'and']"
"Who often goes shopping for the family members from the passage, we know?",['for']
Mrs. Smith and her son want to go to the zoo by  _  .,['and']
The writer started speech lessons at the age of four because  _  .,['because']
In England how old do children have to be before they can work?,['before']
Paper-boys and Papergirls deliver newspapers    _,['and']
Teenagers in England can do all of the following except   _   .,['except']
Kites are made of the following materials EXCEPT   _   according to the passage.,['except']
Why are a monkey and a koala climbing up the tree?,['and']
What is the best title  for the article?,['for']
Luke decided to audition for the show because  _  .,"['because', 'for']"
Where did Luke meet lemurs for the first time?,['for']
Mr. and Mrs. Green went to the country   _  .,['and']
Mr. and Mrs. Green enjoyed the country because   _  .,"['because', 'and']"
Mr. and Mrs. Green took a walk   _  .,['and']
"The old man sometimes liked the people to   _  , but sometimes he didn't.",['but']
How many feelings did Love ask for help but failed?,"['but', 'for']"
"One family once had an accident at sea, because   _  .","['once', 'because']"
Many people would like to go to Kinsale because   _   .,['because']
Why is the weather of Kinsale nice? Because   _   .,['because']
The town of Kinsale is beautiful for its   _   .,['for']
"In Poland,if a man gives some odd red roses to a woman as a present,it means that he   _  .",['as']
"If an American puts his thumb and forefinger into a circle,it shows that he  _   you.","['if', 'and']"
"In Poland,it is   _   for the hostess to remove the cover of the bunch of flowers somebody has presented to her.",['for']
"The sentence""When in Rome,do as the Romans do.""Means that  _  .",['as']
_   doesn't like eggs for breakfast .,['for']
_    likes fruit for breakfast .,['for']
"According to the ads , what can you do on Saturday afternoon if you have time?",['if']
Where can you enjoy a concert after reading the ads above?,['after']
"If Lucy would like to buy some cheap records, she cannot go to the Music Shop on   _  .",['if']
Doing sports is important for children because   _  .,"['because', 'for']"
Who lost an arm and a leg in the fighting,['and']
It seemed to be easy for Andy to do the job until   _  .,"['until', 'for']"
In which countries can people still get money during the holidays according to the     passage?,['still']
Which is the best title for this passage?,['for']
Which sentence has the same meaning as the underline one ?,['as']
It's always necessary for  _  to visit each other's houses with an invitation.,['for']
"If the British just want to end a talk politely, they may say,""  _",['if']
Which is the best title for the passage?,['for']
"If you don't have a  _  , you can never get anything.",['if']
"What is the main reason for the large number of nearsighted students in East Asia, according to scientists?",['for']
"Tom and I   _  in the same class ,we   _   in the same school .",['and']
Kim and Kate are   _  .,['and']
About  _  of the Netherlands is created from the seas and rivers.,['and']
"After reading the passage, we can know  _  .",['after']
By  _  we can see that fashions change as time goes.,['as']
The writer gave us   _  ideas for learning English faster.,['for']
Personality is about the following except  _  .,['except']
How can you make people think you are friendly and easy to talk to?,['and']
What is the best title for the passage?,['for']
That boy was chosen because   _  .,['because']
"After the meal,  _  ,",['after']
Which is the best title for the story?,['for']
Which of the following would be the best title for this passage?,['for']
The APOPO trained the rats to search for  _  .,['for']
Einstein  _   learning sailing and playing the violin.,['and']
Einstein offered a  _   explanation for the question why the sky is blue.,['for']
"If you earn PS5,000 from renting a room in one year, the tax you need to pay will be based on   _  .",['if']
"If you want to use energy free, you have to   _  .",['if']
Anna introduced the idea of drinking afternoon tea because she   _  .,['because']
"If someone says to you ""Will you come for coffee?"", you   _  .","['if', 'for']"
Western classical music is often regarded as   _  .,['as']
Several hundred people give money to the zoo to help Brocky because   _  .,['because']
Children will be   _   if they go to the zoo to visit the tiger Brocky.,['if']
The writer of the first kind of travel books gave his ideas after he   _  .,['after']
The date of publication must be noticed because   _  .,['because']
Lots of people died each year in  _   because of indoor air pollution.,['because']
_  stayed with Michael for a holiday.,['for']
Their holiday lasted for  _  .,['for']
Why didn't Michael go to the island for picnic?,['for']
Sam wanted to find a hotel after  _  .,['after']
Sam needed to pay  _  for a single room on the second floor.,['for']
Why did the traveler take the third taxi?  Because   _   .,['because']
Who asked the traveler to give the money for the taxi driver?,['for']
The best title for the passage is  _  .,['for']
The two elders decided to eat the little tortoise's cake because   _  .,['because']
Poor is the name of a man and the writer    _    .,['and']
Which of the following is NOT a good deed for Luke?,['for']
How did Luke win the competition for the job of National Philanthropy Manager?,['for']
The writer went to London for the first time   _   .,['for']
When did the wrier think he lost the silver ring he bought for his sister?,['for']
Why does the writer think he will never feel as excited as he did that first time?   _   .,['as']
Some people say the world is smaller than before because.,['before']
The Prime Minister died because   _  .,['because']
The king let Effendi go because   _  .,['because']
"After reading the story, the writer may  _  .",['after']
The mother was surprised to see her baby for the first time because the baby  _  .,"['because', 'for']"
"When the tiger saw the man, he began to cry, because   _  .",['because']
"After the tiger jumped out of the cage, he wanted   _  .",['after']
The tree   _   with the tiger because   _   to the tree.,['because']
The bird let the tiger eat the man because   _  .,['because']
Jeff's right leg was cut off  because of  the  _  .,['because']
"The sentence ""I ran for everybody ""means   _",['for']
Muybridge finally found the exact answer to the bet   _  .,['finally']
Han Mei and Lu Lu are playing  _  .,['and']
Miss Fang and Mr. Wu are  _  .,['and']
How many ways for studying does the passage tell us?,['for']
It's better for us to read in the morning because   _  .,"['because', 'for']"
While reading we can't get anything from the book if we   _  .,['if']
Mr. White goes to work by bus because  _,['because']
The dog looked at the woman because   _  .,['because']
Jack and Sue were   _  .,['and']
Jack touched the dog because he believed   _  .,['because']
Little Kids Rock is successful because   _  .,['because']
_   and Li Ming are on school football team.,['and']
The girl handed the letter back to the mailman because   _   .,['because']
"Now Mr Smith is in the zoo with his two sons,one is14 and the other is 10 .How much are the tickets together ?",['and']
Someone takes some of his things from his house and   _  .,['and']
Mr. Smith gets angry because the thief   _  .,['because']
The writer has many friends and their wish is   _  .,['and']
"If Lisa never does housework, the writer thinks she can   _   on No Housework Day.",['if']
"According to the passage, what's the popular trend for people to send ""red envelopes"" ?",['for']
What's the main business purpose for Tencent and Alibaba launch lotteries?,"['and', 'for']"
Children love Mickey Mouse because   _  .,['because']
Mabel doesn't marry Sam because   _  .,['because']
Jack can get much money because   _  .,['because']
Jack's wife leaves him because   _  .,['because']
Jack is happy because he thinks  _  .,['because']
What did the writer feel about the food when she visited the USA for the first time?,['for']
Which lesson was the most boring of all before Karl arrived?,['before']
Why did little Lewis follow Karl home after school?,['after']
They have no classes because   _  .,['because']
They stay in the zoo for  _  hours.,['for']
Many people in England have a   _   breakfast and a   _   lunch.,['and']
Elena and Danny were talking   _  .,['and']
Danny was unhappy because of   _  .,['because']
"With the help of Elena, Danny finally decided to   _  .",['finally']
What is probably the best title for this passage?,['for']
Everyone likes Tom because   _  .,['because']
What does a student often do if he comes across lots of new words in the study?,['if']
He liked playing out on the hills because he could    _   .,['because']
A book about math can be found in the same group of books as  _  .,['as']
Which two numbers would indicate a book about language and a book about science?,['and']
Spring Dawn on the Su Causeway is listed as the    _    of Ten Scenes of West Lake.,['as']
The above words are probably for    _    .,['for']
How much would John ask for if he made a dining table on the last day of December according to his bill?,"['if', 'for']"
"When John got the money, he was happy because  _  .",['because']
Drew Barrymore can be a Hollywood legend mainly because  _  .,['because']
What would happen if Celina told Joseph the truth?,['if']
"If Joseph bought a sleeping bag,   _  .",['if']
Which of the following is the best title for this passage?,['for']
Watson thought of at least   _   things after he saw the stars.,['after']
Her classmates wanted to know what had happened to the girl because  _,['because']
You can find the information below on the newspaper except   _  .,['except']
Mr. Yang cares much about  _   besides others' health.,['besides']
"Mr. Yang punches a hole in his new belt, because   _  .",['because']
Where did the young man stay for the night?,['for']
What did the old man and children ask the young man for?,['and']
How did the young man learn about the ad for old coins?,['for']
What's the best title for this passage?,['for']
The P. E. test in Nanjing includes all of these sports except   _  .,['except']
Most students get high marks in the test because  _  .,['because']
What do most teachers and parents think of the P. E. test?,['and']
"At first, the writer's team was losing because  _  .",['because']
Someone can't have a good memory if   _  .,['if']
"If you do not use your arms or legs for some time,   _  .","['if', 'or', 'for']"
Few people know that it is only   _   if a friend has a poor memory.,['if']
Zhang Fei and Tony Green are   _   .,['and']
what is the girls' excuse for being late?,['for']
"If young people depend on their own efforts,   _  .",['if']
"After the meal,   _   paid the bill.",['after']
The artist invited the beggar to take a taxi home with him so that   _  .,['so that']
Which is the first important thing for people's lives?,['for']
What does Sally buy for her grandfather?,['for']
"After the exam, we'll have to ""face the music"". That's why  _  .",['after']
The lambs couldn t find the way home because,['because']
The farmer found all the lambs after  _  .,['after']
What can be the best title for the passage?,['for']
"If you want to buy your mother a handbag, you'd better go to   _  .",['if']
The writer left Beijing for the Great Wall  _  .,['for']
"If you are a student in Japan,   _  .",['if']
Which is the same rule in Japanese schools and at Morton High School?,['and']
"Usually, before being given a transfusion,   _  .",['before']
The most important reason for the writer to travel in Antigua was   _  .,['for']
Han Bin becomes fatter and fatter because   _  .,"['because', 'and']"
_   is (are) good for our health according to the passage.,['for']
"If the students do as the experts say, they will   _  .","['if', 'as']"
John and his wife went to evening classes to learn how to   _   .,['and']
The price of the ticket for each student is   _  yuan.,['for']
The park is open for   _  hours a day.,['for']
After dinner we sit and chat  _,"['after', 'and']"
You know a lot about English but maybe you  _,['but']
If you want to learn to swim you should  _,['if']
"If you want to be a football player, you should  _",['if']
The story of learning swimming and playing football tells us  _,['and']
"If you want to study English well, you must often  _",['if']
"With the gold-touch skill, Midas can turn everything into gold except   _  .",['except']
London taxi drivers try to make more runs sometimes mainly because    _   .,['because']
Chemicals are added to the foods in the factories because,['because']
What did the writer give to Marley as a Christmas present?,['as']
Kitty and her sister usually go to the youth centre on  _  afternoons.,['and']
What size of the land have been polluted and turned into desert?,['and']
Mary likes her   _   and   _  .,['and']
She likes   _   and   _  .,['and']
_   doesn't like eggs for breakfast.,['for']
_   likes fruit for breakfast.,['for']
Why did Linda think that dolls were the best birthday gifts for Rita?,['for']
Happiness is for   _  .,['for']
"Why do we say ""Happiness is not the same as money""?",['as']
Rachel Carson had a deep love for nature and books because of   _  .,"['because', 'and', 'for']"
Why are parents and teachers worried about these young people and students?,['and']
At first the boy cried because  _  .,['because']
Fish and chips are very popular in   _  .,['and']
_   is not good for our health.,['for']
"A lottery winner may suddenly find himself with many socalled  friends, probably because   _  .",['because']
Some lottery winners want to be with a more attractive man or woman because they   _  .,"['because', 'or']"
"Some lottery winners end their marriages, because  _",['because']
"If there are 10 Germans,   _   like reading according to the passage.",['if']
How many countries and organizations are attending the Shanghai World Expo?,['and']
The San Francisco race is not as   _   as the London race.,['as']
The three men could not agree on what the world's greatest wonder was because   _  .,['because']
The first man thought the pyramids were the most wonderful things in the world because   _  .,['because']
The third man thought a thermos was the most wonderful thing in the world because   _  .,['because']
The third man was not very clever because   _  .,['because']
Mo is the first Nobel winner in   _   born and living in China.,['and']
What did Mo say about himself after he got the prize?,['after']
-- Does peter play sports after class? --   _  .,['after']
Peter and Tanaka are   _  .,['and']
Bears and lions can keep safe because  _  .,"['because', 'and']"
"According to the passage, the fish can keep safe because  _  .",['because']
The following is true EXCEPT  _  .,['except']
What do you need to have if you want to set a record in pumpkin-carving?,['if']
The notice is Written for  _  .,['for']
"If you don't want to go to your friend's birthday party, you may say,""  _  "".",['if']
"If you don't like what someone is doing, what can you say?",['if']
Some people say the world is smaller than before because  _  .,"['because', 'before']"
People learn better through TV than through radio because  _  .,['because']
"If you listen to TFBOY's songs, you can feel a lot of   _  .",['if']
Austin Mahone's success story is almost the same as   _  .,['as']
How often should you exercise if you want to get health and happiness?,"['if', 'and']"
Which is the best title  for the passage?,['for']
American astronaut Edward White once lost    _    in space in 1965.,['once']
"If the junk in space hits one another, it can be    _    .",['if']
Ko Cheng-tung apologized publically because he  _  .,['because']
"The best title for the passage is ""  _  "".",['for']
All the students and Miss Li laugh because  _,"['because', 'and']"
Many boys and girls spend time   _   every day.,['and']
From TV boys and girls can learn   _  .,['and']
Kids love watching TV because   _  .,['because']
"According to the passage, you should follow   _   rules if you want to be healthy.",['if']
What will happen if our PC is turned off when it isn't in use?,['if']
Which ways suggest recycling or reusing of things?,['or']
The husband and the wife went shopping   _  .,['and']
They didn't know it was the wrong car until they looked at   _  .,['until']
Many students stay at home and watch TV from morning to night  _  .,['and']
"When you hear two shouts or whistles, what does that mean?",['or']
"What shouldn't you do, if you get lost in the forest?",['if']
"What did the teacher do before he said, ""Who still wants it?","['before', 'still']"
What did beer-maker Labatt do for the people in Fort McMurray?,['for']
Jeff lost one of his right   _   because of cancer.,['because']
Pet owners send their pets to the Pet Hotel probably because they  _  .,['because']
Vince's mother asked him to  _   three or four times a day.,['or']
What troubles Allison after graduation?,['after']
Tommy tried to find excuses for not going to school because  _  .,"['because', 'for']"
He did not tell his teacher about the twins because  _  .,['because']
David has   _   for lunch.,['for']
David doesn't eat food after   _   in the evening.,['after']
David plays   _   after school.,['after']
Tom doesn't like Sichuan food because    _  .,['because']
They often eat out on weekends because   _  .,['because']
The poor man lived in   _   before he met the rich man.,['before']
"Every morning, the poor man sat on the bench and   _  .",['and']
The poor man moved out of the hotel because   _  .,['because']
Young people like Hip-hop dancing because   _  .,['because']
Why does Victory work so hard? Because   _  .,['because']
Why did the writer's group build a new house for the family?,['for']
What is the best title for this passage?,['for']
Which of the following is the best title for the passage?,['for']
"When someone breaks his bone, the following should be done except   _  .",['except']
The iPod and iPhone will soon teach you how to   _  .,['and']
"By using the iPod or iPhone, you can't   _  .",['or']
The three students used all these things except   _   to made clothes.,['except']
"If you want to keep your body strong, which colours are good for you","['if', 'for']"
"If you don't know the person very well, you'd better not to ask  _  .",['if']
"When the farmer went out for a walk with his daughter, he put on a pair of   _   shoes.",['for']
"When the farmer began to walk, he felt very uncomfortable because   _  .",['because']
The farmer thought his daughter was a clever girl because   _  .,['because']
The father asked his daughter to go and get the other pair of shoes for him and the daughter   _  .,"['and', 'for']"
The  best  title for  this  passage  should  be  '_'.,['for']
Why is breakfast the most important meal?   Because  _  .,['because']
It takes   _   for the moon to go around the earth.,['for']
The moon is bright because   _  .,['because']
Happiness is for  _  .,['for']
"We say ""Happiness is not the same as money."" because  _   .","['because', 'as']"
The teacher gave the students who stayed in the classroom A because   _  .,['because']
"After one year, the electricity produced from the tiles can provide enough energy for   _  .","['after', 'for']"
What else has Laurence invented besides the corridor tiles from the passage?,"['besides', 'else']"
Mrs. Yang wants  _  for her daughter.,['for']
"If you are the tutor, you must teach the daughter for  _  on Saturdays.","['if', 'for']"
"If you want to be the tutor, you DON'T need to",['if']
The writer might feel   _   before the Math Test.,['before']
"From what Ebelin Reyes and Shirley Park said, we know  _  .",['and']
"According to the experts, it's better for a student of 40 kilos to carry a backpack of   _   at most.",['for']
"If students follow the doctor's suggestions, they  _  .",['if']
This story is unusual because pigeons_.,['because']
Lockheed likes the pigeons because they_.,['because']
"In a football match team A gets 1 point and team B gets 3 points, then   _   .",['and']
"The boy repeated the words ""Thank you, dear! You are a nice little boy!"" because  _  .",['because']
How often will a blue moon happen over the next twenty years?,['next']
What would be the best title for the passage?,['for']
Some people walk to go to work because   _  .,['because']
Some people go to work by bike because   _  .,['because']
The writer thinks many people don't live near the north or south pole because  _  .,"['because', 'or']"
Why do people go and live in valleys near rives ?,['and']
"If there is a timely rain ,  _  .",['if']
Lucy and Mary have  _  volleyballs.,['and']
What are Andy and Jim doing at the bus stop?,['and']
Andy and Jim think the tall man is   _   .,['and']
"In fact , the tall man and the short man are   _   .",['and']
Why couldn't Alice get a doll as a child?,['as']
Why didn't Alice expect there was also a gift for her?,['for']
"What does the author mean by saying that ""a strong scientific spirit is basic to the economy, educational system and society""?",['and']
The Silk Road became less important because  _  .,['because']
New technologies could travel along the Silk Road because people  _  .,['because']
The black dress will be probably suitable for you on condition that there are no   _  .,['for']
"Before Joel Haler's walking again, his attitude to the illness was_.",['before']
"When Lopez found it is hard for him to fit in, he   _  .",['for']
Lopez and Uno have a lot in common except that   _  .,"['except', 'and']"
"Compared with other TV talk shows, both the Jerry Springer and the Oprah Winfrey shows are   _  .",['and']
"Though the social problems Jerry Springer talks about appear unpleasant, people who watch the shows   _  .",['though']
The author's attitude towards the act of phubbing can be described as   _  .,['as']
Why did Gleason call the director over and smile at him? That's because Gleason   _  .,"['because', 'and']"
The most suitable (or proper) title for the passage is   _  .,['for']
Thanks are given to the Centerville Writers' Association because it has  _  .,['because']
All the following are the reasons for the expansion of the deserts EXCEPT  _  .,"['except', 'for']"
"If you are going to visit an art zone at 7pm, which one can you go to?",['if']
"If you do not wish to be disturbed, you should  _  .",['if']
"If you intend to leave the room tomorrow, you may leave at any of the following hours except   _","['if', 'except']"
The author of Passage 1 would most likely view the author of Passage 2 as    _   .,['as']
"In Passage 2 lines 8--10, the ""present"" is characterized as    _   .",['as']
Which of the following phrases from Passage 2would the author of Passage 1 most likely choose as a title for Passage 1?,"['as', 'for']"
"Before having a short nap, participants of the experiment were asked to  _  .",['before']
What is the best title for this text?,['for']
The FDA has provided guidelines for producers of pet foods with raw meat because   _  .,"['because', 'for']"
"If you want to sell the bikes your children don't use, you can go to   _  .",['if']
What's probably the best title for the passage?,['for']
People on the island got so small because  _  .,['because']
"According to the passage, getting smaller can make people and animals   _",['and']
Don Robinson has decided to donate   _   to the Department of Natural Resources after his death.,['after']
Why did Westez record songs for the Smithsonian Institution?,['for']
What is a must for the recruited teacher?,['for']
What might be the best title for the passage?,['for']
It was difficult for the couple to live a green life for the whole year because  _  .,"['because', 'for']"
"If you want an immediate booking, you'd better use""_"".",['if']
If you want to book a package you have to   _   .            .,['if']
Spy cams will be more widely used in the future because   _  .         .,['because']
Which of the following statements can best describe broadsheets and tabloid?,['and']
Which of the following newspapers would you read if you are interested in lives of film stars?,['if']
According to the passage we can infer the main reason for The Times' changing into the tabloid is that  _  .,['for']
"According to the passage, who was most known for comedy in China?",['for']
Which of the following helps alert officers if someone stops breathing ?,['if']
Sunflower oil can be good for the following EXCEPT   _  .,"['except', 'for']"
"If you get 17/F/NY as an answer to your A/S/L, it means   _   .","['if', 'as']"
The following statements are true EXCEPT that   _,['except']
"A 13-year-old student was shot with a gun after school, unable to call his mother for help, because   _  .","['because', 'after', 'for']"
Tiger Moms and French Mamas are mentioned in the passage to   _  .,['and']
You must know English if you want to be  _,['if']
All the following are necessary as a researcher EXCEPT that  _,"['as', 'except']"
"As a salesman, you need to love keeping the customers pleased because  _","['because', 'as']"
If you want to get a job that you can do at home you should get in touch with  _,['if']
"For two persons spending a night in one of these hotels, they have to pay at least   _  .",['for']
Which website should you visit if you want to find out whether there exists a hotel under the sea?,['if']
The writer went to the station buffet because   _  .,['because']
Cheetahs will not fight another animal to protect their food because   _,['because']
"If you like children and have two days free, you can call at    _  for a job.","['if', 'and', 'for']"
Which advertisement will Michael be most interested in if he likes fairy tales?,['if']
What phone number should you dial for further information if you are a pop song fan?,"['if', 'further', 'for']"
Some scientists believe the dinosaurs became extinct because   _  .,['because']
What can be the best title for the text?,['for']
The original aim of the study is to look for   _  .,['for']
All the following can contribute to a sudden lack of ambition EXCEPT  _  .,['except']
What is the most important thing for parents in motivating their kids?,['for']
The writer bought a second-hand car because   _  .,['because']
The writer mentions his own marriage and children at the end of the story in order to show   _  .,['and']
"After Austin realized he lost his way, he   _  .",['after']
What was the problem faced by the author and his brother?,['and']
The passage states that some people object to persuasion because they think it is   _  .,['because']
The two thieves failed to steal anything from the house because   _  .,['because']
"_  ""is the best title for this passage.",['for']
Louis was very smart but he didn't learn to read music until   _  .,"['but', 'until']"
He was famous for   _  .,['for']
Which of the following is the best title for this story ?.,['for']
Which of the following is probably the best title for this passage?,['for']
What does the author think about the relationship between a new thought and its being put into practice?,['and']
"According to the passage, Ronnie put the truck in the ditch because of   _  .",['because']
What probably made Ronnie come to life after driving the truck in the ditch?,['after']
What was Temar doing when the police were searching for Jocelyn?,['for']
How do Charlie and his colleagues develop El-E?,['and']
"The phrase""It's not over till the fat lady sings""was first used in   _  .",['till']
Which of the following is the reason for quoting Jonathan Ive?,['for']
What would be the best title for the text?,['for']
"According to the text, Americans like to visit the following places except  _  .",['except']
What should you say when meeting an American for the first time?,['for']
Who would pay for the cost of the reality TV shows according to the passage?,['for']
Which places will you go in Australia if you are interested in music?,['if']
Where can you see unique and endangered animals in Australia?,['and']
If you apply for the program.you  _  .,"['if', 'for']"
You can get in touch with E.W.E.P.by the following ways EXCEPT by  _  .,['except']
"According to the passage, Jenny was mainly described as  _  .",['as']
"According to the lecture Full Steam Ahead for Growth,   _   .",['for']
When and where was the worst earthquake ever recorded?,['and']
"From the stories by Lauren and Charlotte, we know that   _   .",['and']
"What will mothers do if they get ""Our Name is History"" books?",['if']
Which of the following can be used as the best title for the passage?,"['as', 'for']"
How much money can you save   if you buy 3 brownies?,['if']
Which of the following gives you the most for your money if you buy the baked goods?,"['if', 'for']"
"If you wish to receive an order totaling $90.00 within 3 days, how much would the shipping cost?",['if']
How much should you pay for an order totaling $50 for the expedited ground  ?,['for']
"If a man knows judo, he   _  .",['if']
What's the best title for this short passage?,['for']
The following are all the advantages of being young EXCEPT   _  .,['except']
"You can bounce around a little bit and find out what you want to do. ""Bounce"" in this sentence is most similar in meaning to   _  .",['and']
Which is NOT included in the new policies that would help women and working families get ahead?,['and']
The best title for this Weekly Address may be   _  .,['for']
_    is one of the biggest troubles for working wives in the United States.,['for']
When do classes begin and end on a full day?,['and']
"According to Bernie , Marie's death is mainly because of   _  .",['because']
"If a fourth-grade girl wants to learn baseball, she may contact  _  .",['if']
"If one wants to choose a relatively cheap sports camp, he may   _  .",['if']
The wild animals can predict the natural disasters because they   _  .,['because']
Where were Everett and Mr. Hanson talking?,['and']
How did Mr. Hanson finally feel about Everett's suggestion?,['finally']
"Why is another text sent to blood donors after a ""thank you"" one?",['after']
The old lady was surprised to find the front door open because   _  .,['because']
"The first thing she wanted to do, after she was sure that the house was opened by someone, was   _  .",['after']
"If you want to keep fit,  _",['if']
Which of the following is NOT the reason for colleges to change their names?,['for']
Which of the following would be the best title for the text?,['for']
"In the United States,taxes are collected to provide revenues for    .",['for']
How much money does an American earning $40 000 per year pay to the federal government as income tax according to the passage?,['as']
What tax does an American have to pay to the city if he owns a car?,['if']
"After reading the passage,we might feel that Americans seem to be    .",['after']
The city council of Edinburgh rejected the suggestion to open a huge landfill site near Portobello because     .,['because']
What is the final dream an Edinburgh and Midlothian Country?,['and']
"In the writer's opinion,    _   , or the forests will slowly disappear.",['or']
Which do you think is the best title for this passage?,['for']
Mom let Mark inside our house because she   _   .,['because']
What can be the best title for the passage ?,['for']
Which of the following can best serve as the title of the passage?,['as']
Which of the following would be the best title for the passage?,['for']
Students regard drinking and binge drinking as_.,['and']
What's the most important thing in budgeting for presents according to Beacham?,['for']
Which of the following is Beacham's gift idea for friends?,['for']
All of the following are true EXCEPT   _  .,['except']
"Before you apply for a scholarship, it's best to  _  .","['before', 'for']"
How much will Mrs. Robert and her 15-year-old son pay for the cruise?,"['and', 'for']"
"In Three-Kingdom Period, Yueyang Tower was used as   _  .",['as']
Yueyang Tower was once named   _  .,['once']
"If you want to visit one of the oldest national parks in Canada, you can call   _  .",['if']
Which of the following is NOT the job that Lohan has done until now?,['until']
"If you don't pay off the credit card debts in full each month, the best way to save money is to   _  .",['if']
The writer came to Paris because   _  .,['because']
What caused the failure of Willard and Llah's engagement?,['and']
"After Willard's wife died, he came back to his hometown   _   there.",['after']
Which of the following should be the best title for the passage?,['for']
"According to the passage, people will think you are   _   if you don't make eye contact with them.",['if']
"If you forget the other person's name, you'd better   _  .",['if']
"Who joined the ""Fringe"" after it appeared?",['after']
"We can infer if the climate warms,the animals in Australia will most probably move to the   _   .",['if']
Many people took part in the celebration to welcome Beliveau's return EXCEPT   _  .,['except']
What would be the best title for this passage?,['for']
All of the following are part of the writer's advice except that the homeowner   _  .,['except']
"When he saw his friend rush to the hospital, the author could not decide whether to follow mainly because he thought    _   .",['because']
Luca and other brilliant inventors around him shared a dream of   _  .,['and']
"Confusion arises about what it means to be ""a good parent"" because   _  .",['because']
Parents would feel guilty if   _  .,['if']
"Parents of ""nuclear"" families sometimes feel at a loss because   _  .",['because']
"For an English family, the husband's duty is   _  .",['for']
What is true concerning the book Pride and Prejudice?,['and']
What's the best tide for this passage?,['for']
The boy threw a brick at the businessman's car because   _  .,['because']
Buying locally grown food has many advantages EXCEPT   _   .,['except']
"Why are ffiendl3,doctors bad for their patients'health?",['for']
Young oncologists will face the following challenges except  _  .,['except']
"If you drew a funny picture on your friend's face while he was sleeping, you were   _  .",['if']
"As a child, ABC-TV's Sam Champion wanted to be a   _   .",['as']
The newly teaching robots are more advanced because they have  _,['because']
"The most suitable title for the passage should be ""  _  .",['for']
